Name,LiI-6707,OI-7771,OI-7774,OI-7775,NaI-5682,NaI-5688,NaI-5889,NaI-5895,KI-7664,KI-7698
HD 26169,0.11,-0.07,-0.07,-0.07,,,,-0.39,,
HD 26297,0.23,,,,-0.03,-0.05,,,,
HD 31128,-0.03,-0.12,-0.11,-0.1,,,,,,-0.4
HD 45282,0.03,-0.13,,,-0.08,-0.09,,,,-0.53
HD 88609,0.15,,,,,,,,,
HD 94028,-0.03,-0.14,-0.13,,-0.09,-0.1,,,,-0.46
HD 106373,0.05,-0.28,-0.27,-0.26,-0.09,-0.09,,,,-0.28
HD 108317,0.06,-0.09,-0.09,-0.09,,,,,,-0.41
HD 119516,0.05,-0.22,-0.2,-0.17,,-0.07,,,-0.38,-0.32
HD 122196,-0.05,-0.17,-0.16,-0.14,,,,,,-0.37
HD 122563,0.14,-0.05,-0.05,-0.05,,,,,,-0.3
HD 126238,0.12,-0.08,-0.08,-0.07,,,,,,-0.5
HD 126587,0.13,,,,,,,-0.26,-0.29,
HD 128279,0.05,-0.09,-0.09,-0.09,-0.06,,,,,
HD 132475,-0.02,-0.13,-0.12,-0.11,,-0.09,,,-0.49,
HD 175305,0.09,-0.14,-0.13,-0.12,-0.08,-0.08,,,,-0.55
HD 175606,-0.05,-0.2,-0.19,-0.18,,,,-0.39,-0.35,
HD 178443,0.09,-0.14,-0.13,-0.12,-0.08,-0.08,,,-0.76,-0.55
HD 184266,0.04,-0.3,-0.28,-0.24,,,,,,
HD 186478,0.15,,,,,,,,,
HD 188510,0.01,,,,-0.07,-0.08,,,,-0.34
HD 193901,-0.01,,,,-0.08,-0.09,,,,
HD 196892,,,,,-0.11,,,,,
HD 196944,0.07,-0.13,-0.12,-0.11,,,,,,
HD 200654,0.05,-0.09,-0.09,-0.09,,,,,-0.25,
HD 201891,,,,,,,,,,-0.53
HD 214362,0.05,-0.22,-0.2,-0.18,,,,,-0.45,
HD 219617,,,,,,-0.08,,,,-0.4
HD 220127,0.05,-0.12,-0.11,-0.1,-0.08,,,,-0.66,
HD 237846,0.11,-0.07,-0.07,,,,,,,
HE 0454-4758,0.04,-0.1,-0.09,-0.09,,,,-0.12,,
HE 0938+0114,-0.03,-0.39,,,,,,,,-0.23
HE 1012-1540,0.03,,-0.1,-0.09,,,-0.5,-0.48,,-0.22
HE 1124-2335,0.08,-0.08,-0.07,-0.07,,,-0.31,,-0.23,
HE 1320-1339,0.12,-0.06,,,-0.04,,,,-0.31,
HIP 99423,-0.04,,-0.14,-0.12,-0.08,-0.09,,,-0.51,-0.49
