Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,R,H,I,V,B,J,K,U,otype,plx_value,pmdec,rvz_nature,rvz_qual,pmra,sp_qual,sp_bibcode,sp_type
True,,BL229,02:39:24.80,-34:34:38.1,GB07 Fnx25,39.853460356168334,-34.57729852589527,0.0543,0.0736,90,O,2020yCat.1350....0G,,15.121999740600586,17.010000228881836,18.57699966430664,,15.944000244140625,14.913000106811523,,RG*,,-0.429,s,A,0.515,,,
True,,BL231,02:39:18.96,-34:26:43.9,2MASS J02391898-3426445,39.82910069781,-34.4456481666,0.0564,0.0776,90,O,2020yCat.1350....0G,,15.319000244140625,17.020000457763672,18.489999771118164,,16.145999908447266,15.324999809265137,,RG*,0.0148,-0.413,s,A,0.35,,,
True,,BL233,02:39:53.58,-34:37:50.1,[LHT2010] BL233,39.97339137107999,-34.630598399141945,0.0544,0.075,90,O,2020yCat.1350....0G,,15.262999534606934,,,,16.084999084472656,15.20199966430664,,RG*,,-0.5,s,A,0.495,,,
True,,BL239,02:39:47.09,-34:31:49.8,2MASS J02394711-3431499,39.94629465871,-34.53052178272001,0.0575,0.0782,90,O,2020yCat.1350....0G,17.746000289916992,15.204000473022461,,18.59000015258789,20.268999099731445,15.923999786376953,15.345000267028809,,RG*,0.1431,-0.223,s,A,0.294,,,
True,,BL242,02:39:28.03,-34:34:01.2,GB07 Fnx23,39.86688743337,-34.56702245841,0.0557,0.0733,90,O,2020yCat.1350....0G,17.69300079345703,15.243000030517578,17.020000457763672,18.579999923706055,19.947999954223633,15.984999656677246,15.145000457763672,,RG*,,-0.487,s,A,0.303,,,
True,,BL247,02:39:43.07,-34:40:18.4,GB07 Fnx36,39.92956441642,-34.671848165510006,0.0568,0.076,90,O,2020yCat.1350....0G,,15.062000274658203,17.049999237060547,18.641000747680664,,15.989999771118164,15.088000297546387,,RG*,0.1054,-0.51,s,A,0.4,,,
True,,BL249,02:39:54.24,-34:35:11.2,GB07 Fnx27,39.97610668622208,-34.586482732082224,0.0563,0.0756,90,O,2020yCat.1350....0G,,14.996000289916992,,18.591999053955078,,16.09000015258789,15.166999816894531,,RG*,0.1185,-0.281,s,A,0.527,,,
True,,BL250,02:39:45.03,-34:40:11.1,2MASS J02394507-3440114,39.93777263810999,-34.66981603816,0.0552,0.0731,90,O,2020yCat.1350....0G,,14.819999694824219,,18.635000228881836,20.452999114990234,15.736000061035156,14.907999992370605,,RG*,0.0216,-0.526,s,A,0.428,,,
True,,BL251,02:39:30.81,-34:35:45.1,GB07 Fnx29,39.878513329739995,-34.59590514763,0.0558,0.0739,90,O,2020yCat.1350....0G,17.746000289916992,15.104000091552734,17.010000228881836,18.67099952697754,20.191999435424805,15.822999954223633,15.050000190734863,,RG*,,-0.411,s,A,0.359,,,
True,,BL253,02:39:34.08,-34:33:09.6,GB07 Fnx21,39.892142308249994,-34.55269497346,0.0576,0.078,90,O,2020yCat.1350....0G,,15.192999839782715,17.010000228881836,18.641000747680664,,16.12700080871582,15.095000267028809,,RG*,0.2015,-0.35,s,A,0.34,,,
True,,BL254,02:39:41.78,-34:34:16.4,GB07 Fnx24,39.92422753873,-34.57126745688,0.0554,0.0751,90,O,2020yCat.1350....0G,,,,18.632999420166016,,,,,RG*,,-0.33,s,A,0.353,,,
True,,BL257,02:39:57.30,-34:31:20.8,[KGS2010] For   66101,39.98885630565,-34.52250068123,0.0575,0.0797,90,O,2020yCat.1350....0G,17.673999786376953,15.100000381469727,,,20.152999877929688,15.90999984741211,14.670000076293945,,RG*,0.0736,-0.499,s,A,0.499,,,
True,,BL258,02:39:49.68,-34:28:50.4,2MASS J02394972-3428506,39.95709325143,-34.48073260829,0.062,0.0866,90,O,2020yCat.1350....0G,17.812999725341797,15.302000045776367,17.059999465942383,18.600000381469727,20.187999725341797,16.07200050354004,15.336000442504883,,RG*,0.239,-0.406,s,A,0.475,,,
True,,BL260,02:39:55.38,-34:29:54.6,[KGS2010] For   64059,39.98083963853,-34.49856836562666,0.0576,0.0788,90,O,2020yCat.1350....0G,17.7189998626709,15.048999786376953,,,20.214000701904297,15.795999526977539,14.696000099182129,,RG*,,-0.36,s,A,0.392,,,
True,,BL261,02:39:57.80,-34:26:48.8,[LHT2010] BL261,39.990915063873736,-34.447009901959994,0.0639,0.0889,90,O,2020yCat.1350....0G,,15.1899995803833,,,,16.090999603271484,15.07699966430664,,RG*,0.0236,-0.394,s,A,0.408,,,
True,,BL262,02:39:38.42,-34:26:10.3,2MASS J02393846-3426107,39.91021475823,-34.43632025504,0.0586,0.0801,90,O,2020yCat.1350....0G,,15.083999633789062,17.06999969482422,18.540000915527344,,16.0310001373291,15.527000427246094,,RG*,0.1395,-0.348,s,A,0.471,,,
True,,BL266,02:40:10.00,-34:29:58.8,2MASS J02401001-3429589,40.04175491703,-34.49971418562,0.0747,0.1026,90,O,2020yCat.1350....0G,18.059999465942383,15.197999954223633,16.75,18.200000762939453,19.760000228881836,15.937000274658203,14.97700023651123,,RG*,0.1025,-0.978,s,A,1.312,,,
True,,BL267,02:40:17.50,-34:26:06.1,GB07 Fnx07,40.07305032765999,-34.43515786377,0.0504,0.0736,90,O,2020yCat.1350....0G,,15.163000106811523,16.760000228881836,18.18000030517578,,15.980999946594238,14.925000190734863,,RG*,,-0.288,s,A,0.347,,,
