Seq,Name,[Fe/H],Species,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_[X/H],Nlines
13,CS 22189-009,-3.49,Mg I,,4.2,,-3.38,,0.11,0.06,7
13,CS 22189-009,-3.49,Al I,,2.06,,-4.41,,-0.92,,2
13,CS 22189-009,-3.49,Si I,,4.35,,-3.2,,0.29,,1
13,CS 22189-009,-3.49,K I,,2.03,,-3.09,,0.4,,1
13,CS 22189-009,-3.49,Ca I,,3.07,,-3.29,,0.2,0.1,15
13,CS 22189-009,-3.49,Sc II,,-0.32,,-3.49,,0.0,0.08,7
13,CS 22189-009,-3.49,Ti I,,1.66,,-3.36,,0.13,0.16,14
13,CS 22189-009,-3.49,Ti II,,1.57,,-3.45,,0.04,0.11,30
13,CS 22189-009,-3.49,Cr I,,1.76,,-3.91,,-0.42,0.13,7
13,CS 22189-009,-3.49,Mn I,,1.65,,-3.74,,-0.25,0.05,3
13,CS 22189-009,-3.49,Fe I,,4.01,,-3.49,,0.0,0.15,150
13,CS 22189-009,-3.49,Fe II,,4.01,,-3.49,,0.0,0.11,11
13,CS 22189-009,-3.49,Co I,,1.8,,-3.12,,0.37,0.06,4
13,CS 22189-009,-3.49,Ni I,,2.82,,-3.43,,0.06,0.06,3
13,CS 22189-009,-3.49,Zn I,,1.57,,-3.03,,0.46,,1
14,CS 22873-055,-2.99,C-H,,4.56,,-3.96,,-0.98,,
14,CS 22873-055,-2.99,C-N,,,,,,,,
14,CS 22873-055,-2.99,O I,,6.3,,-2.47,,0.52,,
14,CS 22873-055,-2.99,Na I,,4.05,,-2.28,,0.71,,2
14,CS 22873-055,-2.99,Mg I,,5.01,,-2.57,,0.42,0.14,7
14,CS 22873-055,-2.99,Al I,,3.28,,-3.19,,-0.21,,2
14,CS 22873-055,-2.99,Si I,,4.9,,-2.65,,0.34,,2
14,CS 22873-055,-2.99,K I,,2.6,,-2.52,,0.47,,1
14,CS 22873-055,-2.99,Ca I,,3.72,,-2.64,,0.35,0.09,16
14,CS 22873-055,-2.99,Sc II,,0.2,,-2.97,,0.02,0.05,7
14,CS 22873-055,-2.99,Ti I,,2.19,,-2.83,,0.16,0.05,13
14,CS 22873-055,-2.99,Ti II,,2.17,,-2.85,,0.14,0.11,29
14,CS 22873-055,-2.99,Cr I,,2.32,,-3.35,,-0.37,0.09,7
14,CS 22873-055,-2.99,Mn I,,1.98,,-3.41,,-0.43,0.05,3
14,CS 22873-055,-2.99,Fe I,,4.52,,-2.98,,0.0,0.14,145
14,CS 22873-055,-2.99,Fe II,,4.51,,-2.99,,0.0,0.11,17
14,CS 22873-055,-2.99,Co I,,2.17,,-2.75,,0.24,0.09,4
14,CS 22873-055,-2.99,Ni I,,3.3,,-2.95,,0.04,0.05,3
14,CS 22873-055,-2.99,Zn I,,1.87,,-2.73,,0.26,,1
15,CS 22873-166,-2.97,C-H,,5.4,,-3.12,,-0.15,,
15,CS 22873-166,-2.97,C-N,,6.0,,-1.92,,1.05,,
15,CS 22873-166,-2.97,O I,,,,,,,,
15,CS 22873-166,-2.97,Na I,,3.69,,-2.64,,0.33,,2
15,CS 22873-166,-2.97,Mg I,,5.14,,-2.44,,0.52,0.18,7
15,CS 22873-166,-2.97,Al I,,3.11,,-3.36,,-0.4,,2
15,CS 22873-166,-2.97,Si I,,5.0,,-2.55,,0.42,,1
15,CS 22873-166,-2.97,K I,,2.66,,-2.46,,0.51,,1
15,CS 22873-166,-2.97,Ca I,,3.76,,-2.6,,0.36,0.1,16
15,CS 22873-166,-2.97,Sc II,,0.28,,-2.89,,0.08,0.1,7
15,CS 22873-166,-2.97,Ti I,,2.25,,-2.77,,0.2,0.09,14
15,CS 22873-166,-2.97,Ti II,,2.25,,-2.77,,0.2,0.13,30
15,CS 22873-166,-2.97,Cr I,,2.36,,-3.47,,-0.51,0.12,7
15,CS 22873-166,-2.97,Mn I,,1.92,,-3.28,,-0.32,0.06,3
15,CS 22873-166,-2.97,Fe I,,4.58,,-2.92,,0.04,0.19,143
15,CS 22873-166,-2.97,Fe II,,4.49,,-3.01,,-0.04,0.11,18
15,CS 22873-166,-2.97,Co I,,2.12,,-2.8,,0.17,0.13,4
15,CS 22873-166,-2.97,Ni I,,3.2,,-3.05,,-0.09,0.1,3
15,CS 22873-166,-2.97,Zn I,,1.81,,-2.79,,0.18,,1
16,CS 22878-101,-3.25,C-H,,5.0,,,,,,
16,CS 22878-101,-3.25,C-N,,,,,,,,
16,CS 22878-101,-3.25,O I,,,,,,,,
16,CS 22878-101,-3.25,Na I,,3.22,,-3.11,,0.14,,2
16,CS 22878-101,-3.25,Mg I,,4.77,,-2.81,,0.44,0.11,7
16,CS 22878-101,-3.25,Al I,,2.46,,-4.01,,-0.76,,2
16,CS 22878-101,-3.25,Si I,,4.65,,-2.9,,0.35,,1
16,CS 22878-101,-3.25,K I,,,,,,,,0
16,CS 22878-101,-3.25,Ca I,,3.47,,-2.89,,0.36,0.16,17
16,CS 22878-101,-3.25,Sc II,,0.04,,-3.13,,0.12,0.03,7
16,CS 22878-101,-3.25,Ti I,,2.06,,-2.96,,0.29,0.14,14
