ID,Wave,Species,ExPot,log(gf),EW,f_EW,logX
SMSS~J000113.96-363337.9,4139.927,26.0,0.99,-3.629,36.3,,5.08
SMSS~J000113.96-363337.9,4143.414,26.0,3.05,-0.2,80.1,,5.09
SMSS~J000113.96-363337.9,4147.669,26.0,1.48,-2.071,87.7,,5.28
SMSS~J000113.96-363337.9,4153.899,26.0,3.4,-0.32,57.9,,5.07
SMSS~J000113.96-363337.9,4154.498,26.0,2.83,-0.688,67.0,,4.99
SMSS~J000113.96-363337.9,4154.805,26.0,3.37,-0.4,49.6,,4.94
SMSS~J000113.96-363337.9,4156.799,26.0,2.83,-0.808,68.4,,5.14
SMSS~J000113.96-363337.9,4157.78,26.0,3.42,-0.403,51.1,,5.03
SMSS~J000113.96-363337.9,4158.793,26.0,3.43,-0.67,37.5,,5.02
SMSS~J000113.96-363337.9,4161.527,22.1,1.08,-2.16,64.8,,3.08
SMSS~J000113.96-363337.9,4163.634,22.1,2.59,-0.4,52.8,,2.86
SMSS~J000113.96-363337.9,4167.271,12.0,4.35,-0.71,73.7,,5.71
SMSS~J000113.96-363337.9,4174.913,26.0,0.91,-2.938,77.3,,5.19
SMSS~J000113.96-363337.9,4175.636,26.0,2.85,-0.827,66.7,,5.15
SMSS~J000113.96-363337.9,4178.86,26.1,2.58,-2.51,65.1,,5.16
SMSS~J000113.96-363337.9,4181.755,26.0,2.83,-0.371,80.8,,5.02
SMSS~J000113.96-363337.9,4182.382,26.0,3.02,-1.18,39.6,,5.1
SMSS~J000113.96-363337.9,4184.309,22.1,1.08,-2.51,44.8,,3.02
SMSS~J000113.96-363337.9,4184.892,26.0,2.83,-0.869,58.6,,4.97
SMSS~J000113.96-363337.9,4187.795,26.0,2.42,-0.51,96.9,,5.03
SMSS~J000113.96-363337.9,4191.43,26.0,2.47,-0.666,82.8,,4.91
SMSS~J000113.96-363337.9,4195.329,26.0,3.33,-0.492,58.0,,5.16
SMSS~J000113.96-363337.9,4196.208,26.0,3.4,-0.7,41.6,,5.1
SMSS~J000113.96-363337.9,4199.095,26.0,3.05,0.156,92.9,,5.07
SMSS~J000113.96-363337.9,4215.524,38.1,0.0,-0.17,,s,0.65
SMSS~J000113.96-363337.9,4217.545,26.0,3.43,-0.484,57.6,,5.25
SMSS~J000113.96-363337.9,4222.213,26.0,2.45,-0.914,79.8,,5.04
SMSS~J000113.96-363337.9,4233.603,26.0,2.48,-0.579,94.7,,5.1
SMSS~J000113.96-363337.9,4238.81,26.0,3.4,-0.233,62.9,,5.08
SMSS~J000113.96-363337.9,4246.82,21.1,0.315,0.241,,s,1.03
SMSS~J000113.96-363337.9,4250.119,26.0,2.47,-0.38,97.0,,4.94
SMSS~J000113.96-363337.9,4250.787,26.0,1.56,-0.713,132.3,,5.01
SMSS~J000113.96-363337.9,4254.332,24.0,0.0,-0.114,121.2,,2.86
SMSS~J000113.96-363337.9,4274.8,24.0,0.0,-0.22,122.3,,2.99
SMSS~J000113.96-363337.9,4330.723,22.1,1.18,-2.06,55.7,,2.89
SMSS~J000113.96-363337.9,4337.046,26.0,1.56,-1.695,94.2,,5.13
SMSS~J000113.96-363337.9,4337.566,24.0,0.97,-1.112,33.1,,3.0
SMSS~J000113.96-363337.9,4352.735,26.0,2.22,-1.29,76.9,,5.08
SMSS~J000113.96-363337.9,4388.407,26.0,3.6,-0.681,33.5,,5.13
SMSS~J000113.96-363337.9,4394.059,22.1,1.22,-1.78,68.2,,2.91
SMSS~J000113.96-363337.9,4395.031,22.1,1.08,-0.54,135.3,,3.05
SMSS~J000113.96-363337.9,4399.765,22.1,1.24,-1.19,94.4,,2.95
SMSS~J000113.96-363337.9,4416.817,26.1,2.78,-2.6,52.9,,5.19
SMSS~J000113.96-363337.9,4417.714,22.1,1.17,-1.19,98.6,,2.96
SMSS~J000113.96-363337.9,4418.331,22.1,1.24,-1.97,58.9,,2.92
SMSS~J000113.96-363337.9,4422.568,26.0,2.85,-1.11,56.9,,5.17
SMSS~J000113.96-363337.9,4425.44,20.0,1.88,-0.358,64.9,,4.21
SMSS~J000113.96-363337.9,4430.614,26.0,2.22,-1.659,66.8,,5.18
