Name,Ion,Species,l_logepsX,logepsX
HD 103036,Fe I,26.0,,-9.54
HD 103036,Zn I,30.0,,2.8
HD 103036,Y II,39.1,,0.13
HD 103036,La II,57.1,,-0.62
HD 103036,Eu II,63.1,,-1.09
HD 103036,Pb I,82.0,<,0.1
HD 103545,Fe I,26.0,,-9.95
HD 103545,Zn I,30.0,,2.2
HD 103545,Y II,39.1,,-0.5
HD 103545,La II,57.1,,-1.18
HD 103545,Eu II,63.1,,-1.56
HD 103545,Pb I,82.0,<,-0.05
HD 105546,Fe I,26.0,,-8.98
HD 105546,Zn I,30.0,,3.29
HD 105546,Y II,39.1,,0.74
HD 105546,La II,57.1,,-0.13
HD 105546,Eu II,63.1,,-0.56
HD 105546,Pb I,82.0,<,0.8
HD 105755,Fe I,26.0,,-8.33
HD 105755,Zn I,30.0,,3.98
HD 105755,Y II,39.1,,1.18
HD 105755,La II,57.1,,0.33
HD 105755,Eu II,63.1,,0.02
HD 105755,Pb I,82.0,,1.43
HD 106516,Fe I,26.0,,-8.31
HD 106516,Zn I,30.0,,3.94
HD 106516,Y II,39.1,,1.28
HD 106516,La II,57.1,,0.31
HD 106516,Eu II,63.1,,-0.04
HD 106516,Pb I,82.0,,1.56
HD 107752,Fe I,26.0,,-10.28
HD 107752,Zn I,30.0,,1.93
HD 107752,Y II,39.1,,-0.9
HD 107752,La II,57.1,,-1.59
HD 107752,Eu II,63.1,,-1.99
HD 107752,Pb I,82.0,<,0.3
HD 108317,Fe I,26.0,,-9.68
HD 108317,Zn I,30.0,,2.4
HD 108317,Y II,39.1,,-0.39
HD 108317,La II,57.1,,-1.01
HD 108317,Eu II,63.1,,-1.32
HD 108317,Pb I,82.0,,0.17
HD 108577,Fe I,26.0,,-9.88
HD 108577,Zn I,30.0,,2.56
HD 108577,Y II,39.1,,-0.52
HD 108577,La II,57.1,,-1.24
HD 108577,Eu II,63.1,,-1.48
HD 108577,Pb I,82.0,,
HD 110184,Fe I,26.0,,-10.22
HD 110184,Zn I,30.0,,2.14
HD 110184,Y II,39.1,,-0.65
HD 110184,La II,57.1,,-1.47
HD 110184,Eu II,63.1,,-1.71
HD 110184,Pb I,82.0,<,-0.2
HD 115444,Fe I,26.0,,-10.4
HD 115444,Zn I,30.0,,1.9
HD 115444,Y II,39.1,,-0.82
HD 115444,La II,57.1,,-1.42
HD 115444,Eu II,63.1,,-1.64
HD 115444,Pb I,82.0,<,-0.45
HD 119516,Fe I,26.0,,-9.76
HD 119516,Zn I,30.0,,2.32
HD 119516,Y II,39.1,,-0.43
HD 119516,La II,57.1,,-1.08
HD 119516,Eu II,63.1,,-1.43
HD 119516,Pb I,82.0,<,1.52
HD 121135,Fe I,26.0,,-9.04
HD 121135,Zn I,30.0,,3.37
HD 121135,Y II,39.1,,0.69
HD 121135,La II,57.1,,-0.33
HD 121135,Eu II,63.1,,-0.7
HD 121135,Pb I,82.0,,0.38
HD 122563,Fe I,26.0,,-10.27
HD 122563,Zn I,30.0,,1.97
HD 122563,Y II,39.1,,-0.92
HD 122563,La II,57.1,,-2.4
HD 122563,Eu II,63.1,,-2.75
HD 122563,Pb I,82.0,<,-0.42
HD 122956,Fe I,26.0,,-9.45
HD 122956,Zn I,30.0,,2.87
HD 122956,Y II,39.1,,0.16
HD 122956,La II,57.1,,-0.48
HD 122956,Eu II,63.1,,-0.79
HD 122956,Pb I,82.0,,-0.13
HD 124358,Fe I,26.0,,-9.41
HD 124358,Zn I,30.0,,2.64
HD 124358,Y II,39.1,,-0.22
HD 124358,La II,57.1,,-0.68
HD 124358,Eu II,63.1,,-0.94
HD 124358,Pb I,82.0,<,0.45
HD 126587,Fe I,26.0,,-10.43
HD 126587,Zn I,30.0,,
HD 126587,Y II,39.1,,-0.53
HD 126587,La II,57.1,,-1.75
HD 126587,Eu II,63.1,,-1.97
HD 126587,Pb I,82.0,<,-0.38
HD 128279,Fe I,26.0,,-10.01
HD 128279,Zn I,30.0,,2.15
HD 128279,Y II,39.1,,-1.04
HD 128279,La II,57.1,,-1.77
HD 128279,Eu II,63.1,,-2.27
HD 128279,Pb I,82.0,<,1.05
HD 132475,Fe I,26.0,,-9.36
HD 132475,Zn I,30.0,,2.96
HD 132475,Y II,39.1,,0.56
HD 132475,La II,57.1,,-0.38
HD 132475,Eu II,63.1,,-0.92
HD 132475,Pb I,82.0,<,1.0
HD 135148,Fe I,26.0,,-9.67
HD 135148,Zn I,30.0,,2.58
HD 135148,Y II,39.1,,-0.25
HD 135148,La II,57.1,,-0.76
HD 135148,Eu II,63.1,,-0.95
HD 135148,Pb I,82.0,,-0.17
HD 13979,Fe I,26.0,,-10.42
HD 13979,Zn I,30.0,,1.79
HD 13979,Y II,39.1,,-1.3
HD 13979,La II,57.1,,-2.3
HD 13979,Eu II,63.1,,-2.59
HD 13979,Pb I,82.0,<,0.45
HD 141531,Fe I,26.0,,-9.29
HD 141531,Zn I,30.0,,2.79
HD 141531,Y II,39.1,,0.11
HD 141531,La II,57.1,,-0.45
HD 141531,Eu II,63.1,,-0.72
HD 141531,Pb I,82.0,,0.2
HD 166161,Fe I,26.0,,-8.73
HD 166161,Zn I,30.0,,3.46
HD 166161,Y II,39.1,,1.11
HD 166161,La II,57.1,,0.23
HD 166161,Eu II,63.1,,-0.48
HD 166161,Pb I,82.0,,0.84
HD 171496,Fe I,26.0,,-8.17
HD 171496,Zn I,30.0,,4.11
HD 171496,Y II,39.1,,1.4
HD 171496,La II,57.1,,0.51
HD 171496,Eu II,63.1,,0.11
HD 171496,Pb I,82.0,,1.41
HD 175305,Fe I,26.0,,-9.23
HD 175305,Zn I,30.0,,2.96
HD 175305,Y II,39.1,,0.3
HD 175305,La II,57.1,,-0.6
HD 175305,Eu II,63.1,,-0.89
HD 175305,Pb I,82.0,,-0.28
HD 184266,Fe I,26.0,,-8.93
