Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Imag,Date,Obs,S/N
J211103.7-071250,TYC 5205-359-1,,,21:11:03.7703,-07:12:51.190,317.766,-7.214,10.7,20081016,LCO,160
J212558.5-265657,TYC 6946-579-1,,,21:25:58.5494,-26:56:57.453,321.494,-26.949,10.0,20081016,LCO,200
J213539.2-152631,TYC 6361-708-1,,,21:35:39.2931,-15:26:31.142,323.914,-15.442,10.1,20081016,LCO,160
J213932.9-071932,BD-07  5610,,,21:39:32.9119,-07:19:32.975,324.887,-7.326,9.6,20080910,AAT,160
J214348.9-162137,TYC 6362-1006-1,,,21:43:48.9840,-16:21:37.981,325.954,-16.361,10.2,20081016,LCO,200
J214939.2-424202,TYC 7989-722-1,,,21:49:39.2830,-42:42:02.908,327.414,-42.701,9.5,20081016,LCO,210
J215707.2-353949,CD-36 15107,,,21:57:07.2580,-35:39:49.907,329.28,-35.664,10.3,20080909,AAT,200
J220103.9-033641,TYC 5227-484-1,,,22:01:03.9200,-03:36:41.615,330.266,-3.611,10.6,20081016,LCO,190
J220119.1-542301,TYC 8813-197-1,,,22:01:19.1734,-54:23:01.052,330.33,-54.384,10.3,20070924,AAT,150
J220149.1-320337,HD 209137,,,22:01:49.1507,-32:03:38.125,330.455,-32.061,9.4,20080912,AAT,200
J220157.5-444950,TYC 8001-1589-1,,,22:01:57.5912,-44:49:50.157,330.49,-44.831,9.9,20081016,LCO,250
J220211.8-441701,UCAC4 229-190249,,,22:02:11.8035,-44:17:01.642,330.549,-44.284,11.3,20081016,LCO,190
