# These are the reported abundances. They did not report the [FeI/H] abundance.
Name            , [FeII/H], [Mg/FeI], [Si/FeI], [Ca/FeI], [TiI/FeI], [TiII/FeII]
T6090_00859_1   , -0.63   , 0.14    , 0.22    , 0.18    , -0.02    , 0.18
T6092_00035_1   , -0.47   , 0.08    , 0.17    , 0.14    , -0.08    , -0.03
T6105_00098_1   , -0.8    , 0.52    , 0.48    , 0.16    , 0.12     , 0.34
T6117_01347_1   , -0.77   , 0.3     , 0.35    , 0.32    , 0.07     , 0.22
T6122_00253_1   , -0.71   , 0.16    , 0.27    , 0.15    , 0.02     , 0.16
T6141_00148_1   , -0.63   , 0.36    , 0.25    , 0.16    , 0.11     , 0.16
T6170_00280_1   , -0.83   , 0.16    , 0.29    , 0.13    , 0.21     , 0.03
T6333_00173_1   , -0.52   , 0.07    , 0.18    , 0.11    , -0.03    , 0.08
T6333_01571_1   , -0.48   , 0.12    , 0.22    , 0.15    , -0.08    , 0.0
T6338_00797_1   , -1.58   , 0.41    , 0.4     , 0.25    , 0.05     , 0.36
T6340_00478_1   , -0.63   , 0.34    , 0.27    , 0.23    , 0.15     , 0.24
T6412_00004_1   , -0.59   , 0.05    , 0.23    , 0.16    , -0.02    , 0.1
T6444_00154_1   , -1.11   , 0.46    , 0.38    , 0.4     , 0.17     , 0.31
T6501_01104_1   , -1.67   , 0.34    , 0.43    , 0.28    , 0.13     , 0.25
T6640_00549_1   , -0.5    , 0.02    , 0.17    , 0.11    , -0.11    , 0.03
T6642_00874_1   , -0.95   , 0.48    , 0.4     , 0.4     , 0.28     , 0.33
T6695_00459_1   , -1.86   , 0.22    , 0.34    , 0.28    , 0.05     , 0.11
T6703_00690_1   , -1.2    , 0.08    , 0.3     , 0.11    , -0.15    , -0.03
T6709_00331_1   , -1.75   , 0.25    , 0.41    , 0.18    , 0.01     , 0.29
T6718_00241_1   , -0.93   , 0.41    , 0.4     , 0.22    , 0.11     , 0.24
T6757_00705_1   , -1.56   , 0.33    , 0.39    , 0.21    , -0.03    , 0.33
T6904_00180_1   , -0.67   , 0.08    , 0.21    , 0.17    , 0.0      , 0.1
T6909_00633_1   , -0.86   , 0.33    , 0.31    , 0.26    , 0.14     , 0.25
T6909_01741_1   , -0.53   , 0.35    , 0.27    , 0.13    , 0.08     , 0.28
T6913_00155_1   , -2.02   , 0.27    , 0.35    , 0.27    , 0.09     , 0.29
T6953_00510_1   , -2.01   , 0.36    , 0.4     , 0.32    , 0.09     , 0.26
T6975_00058_1   , -0.55   , 0.13    , 0.26    , 0.18    , -0.03    , 0.08
T6975_00904_1   , -2.13   , 0.29    , 0.42    , 0.3     , 0.19     , 0.26
T7217_00088_1   , -1.39   , 0.39    , 0.3     , 0.34    , 0.18     , 0.36
T7222_00638_1   , -1.38   , 0.44    , 0.37    , 0.19    , 0.05     , 0.19
T7228_01050_1   , -1.68   , 0.22    , 0.38    , 0.22    , 0.06     , 0.26
T7232_00209_1   , -0.67   , 0.3     , 0.22    , 0.18    , 0.09     , 0.19
T7242_00198_1   , -1.2    , 0.36    , 0.41    , 0.13    , 0.07     , 0.24
