Name,Species,Ion,l_logepsX,logepsX,e_[X/Fe],e_[X/H]
J123824.6-292725,22.1,Ti II,,4.4,,
J123824.6-292725,26.0,Fe I,,6.63,,
J123824.6-292725,26.1,Fe II,,6.63,,
J123859.7-025609,12.0,Mg I,,6.04,,
J123859.7-025609,14.0,Si I,,5.97,,
J123859.7-025609,20.0,Ca I,,4.73,,
J123859.7-025609,22.0,Ti I,,3.3,,
J123859.7-025609,22.1,Ti II,,3.49,,
J123859.7-025609,26.0,Fe I,,5.62,,
J123859.7-025609,26.1,Fe II,,5.62,,
J124244.9-131503,12.0,Mg I,,6.31,,
J124244.9-131503,14.0,Si I,,6.27,,
J124244.9-131503,20.0,Ca I,,5.21,,
J124244.9-131503,22.0,Ti I,,3.78,,
J124244.9-131503,22.1,Ti II,,3.89,,
J124244.9-131503,26.0,Fe I,,5.98,,
J124244.9-131503,26.1,Fe II,,5.98,,
J124307.9-140657,12.0,Mg I,,6.45,,
J124307.9-140657,14.0,Si I,,6.49,,
J124307.9-140657,20.0,Ca I,,5.26,,
J124307.9-140657,22.0,Ti I,,3.72,,
J124307.9-140657,22.1,Ti II,,3.83,,
J124307.9-140657,26.0,Fe I,,6.05,,
J124307.9-140657,26.1,Fe II,,6.05,,
J125431.7-425303,12.0,Mg I,,6.58,,
J125431.7-425303,14.0,Si I,,6.53,,
J125431.7-425303,20.0,Ca I,,5.43,,
J125431.7-425303,22.0,Ti I,,3.9,,
J125431.7-425303,22.1,Ti II,,3.97,,
J125431.7-425303,26.0,Fe I,,6.25,,
J125431.7-425303,26.1,Fe II,,6.25,,
J125815.0-402633,12.0,Mg I,,6.66,,
J125815.0-402633,14.0,Si I,,6.67,,
J125815.0-402633,20.0,Ca I,,5.47,,
J125815.0-402633,22.0,Ti I,,3.93,,
J125815.0-402633,22.1,Ti II,,4.06,,
J125815.0-402633,26.0,Fe I,,6.27,,
J125815.0-402633,26.1,Fe II,,6.27,,
J130043.2-091049,12.0,Mg I,,6.37,,
J130043.2-091049,14.0,Si I,,6.43,,
J130043.2-091049,20.0,Ca I,,5.22,,
J130043.2-091049,22.0,Ti I,,3.62,,
J130043.2-091049,22.1,Ti II,,3.76,,
J130043.2-091049,26.0,Fe I,,5.96,,
J130043.2-091049,26.1,Fe II,,5.96,,
J131013.0-334236,12.0,Mg I,,5.92,,
J131013.0-334236,14.0,Si I,,5.95,,
J131013.0-334236,20.0,Ca I,,4.7,,
J131013.0-334236,22.0,Ti I,,3.25,,
J131013.0-334236,22.1,Ti II,,3.39,,
J131013.0-334236,26.0,Fe I,,5.56,,
J131013.0-334236,26.1,Fe II,,5.56,,
J131951.5-144755,12.0,Mg I,,6.78,,
J131951.5-144755,14.0,Si I,,6.68,,
J131951.5-144755,20.0,Ca I,,5.47,,
