StarID,Species,lambda,References,EW,logepsX
635,Ni I,617.5360,-0.530,FMW,5.32,5.56
635,Ni I,617.6807,-0.260,LW,6.32,5.48
635,Ni I,617.7236,-3.5,FMW,3.86,5.46
635,Cu I,510.5500,-1.516,BIEL,0.02,3.05
635,Zn I,481.0528,-0.170,BG,0.0,0.0
635,YI I,488.3683,0.070,HL,9.84,1.67
635,YI I,498.2130,-1.290,HL,3.65,1.59
635,YI I,508.7417,-0.170,HL,0.0,0.0
635,YI I,511.9113,-1.360,HL,3.82,1.63
635,Ba II,649.6896,-0.377,NBS,15.69,1.78
635,La II,480.4039,-1.490,LA,0.0,0.0
635,La II,511.4558,-1.030,LA,7.35,1.41
635,La II,632.0377,-1.610,ABH,2.95,0.90
635,Ce II,518.7457,0.130,H,4.45,1.57
635,Ce II,533.0556,-0.360,H,3.30,1.38
635,Ce II,546.8372,0.140,H,0.0,0.0
635,Ce II,604.3374,-0.430,H,0.0,0.0
635,Nd II,491.4382,-0.7,HA,5.95,1.44
635,Nd II,495.9119,-0.8,HA,0.0,0.0
635,Nd II,496.1387,-0.710,MC',4.78,1.51
635,Nd II,508.9832,-1.160,MC',0.0,0.0
