Species, N  , ID                      , l_logepsX, logepsX, e_logepsX, l_[X/H], [X/H], l_[X/Fe], [X/Fe]
C-H    ,   2, SMSS J160447.75-293146.7,          , 6.03   ,      0.02,        , -2.4 ,         , 0.26
C-H    ,   2, SMSS J164921.94-041943.9,          , 5.94   ,      0.03,        , -2.49,         , -0.25
C-H    ,   2, SMSS J165023.82-252948.7,          , 5.5    ,      0.0 ,        , -2.93,         , -0.45
C-H    ,   2, SMSS J165219.76-253133.7,          , 6.5    ,      0.05,        , -1.93,         , 0.27
C-H    ,   2, SMSS J173823.36-145701.0,          , 5.45   ,      0.0 ,        , -2.98,         , 0.6
C-H    ,   2, SMSS J174048.48-143635.6,          , 5.82   ,      0.02,        , -2.61,         , -0.11
C-H    ,   2, SMSS J174916.38-455427.5,          , 6.22   ,      0.02,        , -2.21,         , 0.3
C-H    ,   2, SMSS J174922.26-455103.8,          , 6.21   ,      0.01,        , -2.22,         , 0.55
C-H    ,   2, SMSS J175021.86-414627.2,          , 6.03   ,      0.02,        , -2.4 ,         , 0.36
C-H    ,   2, SMSS J175046.30-425506.9,          , 6.14   ,      0.06,        , -2.29,         , -0.12
C-H    ,   2, SMSS J175738.37-454823.5,          , 5.54   ,      0.06,        , -2.89,         , -0.43
C-H    ,   2, SMSS J183246.49-343434.2,          , 5.1    ,      0.05,        , -3.33,         , -0.33
C-H    ,   2, SMSS J183753.10-380725.9,          , 5.08   ,      0.04,        , -3.34,         , -0.35
C-H    ,   1, SMSS J184226.25-272602.7, <        , 4.25   ,      0.0 , <      , -4.18, <       , -0.29
C-H    ,   2, SMSS J184825.29-305929.7,          , 5.03   ,      0.02,        , -3.4 ,         , 0.25
C-H    ,   2, SMSS J185628.44-231809.8,          , 4.65   ,      0.05,        , -3.78,         , -0.79
C-H    ,   2, SMSS J190549.33-214945.0,          , 5.67   ,      0.08,        , -2.75,         , 0.35
C-H    ,   2, SMSS J190911.03-213207.5,          , 5.47   ,      0.07,        , -2.96,         , -0.56
C-H    ,   2, SMSS J190931.13-214053.9,          , 4.75   ,      0.05,        , -3.68,         , -0.35
C-H    ,   2, SMSS J191802.51-851523.0,          , 5.83   ,      0.03,        , -2.59,         , 0.04
C-H    ,   1, SMSS J193528.46-462129.6, <        , 4.78   ,      0.02, <      , -3.65, <       , -0.26
C-H    ,   2, SMSS J193617.38-790231.4,          , 7.45   ,      0.03,        , -0.98,         , 0.33
C-H    ,   2, SMSS J194432.13-720537.1,          , 6.04   ,      0.05,        , -2.38,         , 0.05
C-H    ,   2, SMSS J195614.75-320145.9,          , 5.8    ,      0.05,        , -2.63,         , -0.31
C-H    ,   2, SMSS J195931.70-643529.3,          , 5.4    ,      0.1 ,        , -3.03,         , -0.45
C-H    ,   2, SMSS J200228.85-533114.4,          , 4.75   ,      0.05,        , -3.68,         , -0.46
C-H    ,   2, SMSS J200654.42-321157.7,          , 5.85   ,      0.05,        , -2.58,         , 0.67
C-H    ,   1, SMSS J202057.49-522417.2, <        , 5.08   ,      0.17, <      , -3.35, <       , -0.23
C-H    ,   2, SMSS J202123.89-515742.8,          , 5.61   ,      0.19,        , -2.82,         , -0.21
C-H    ,   2, SMSS J205313.80-651830.6,          , 5.9    ,      0.05,        , -2.53,         , 0.09
